epoch,train_loss,val_loss,lr,seed
0,0.9647165803532851,1.4281352758407593,5.9999999999999995e-05,42
1,0.8990368960719359,1.456486701965332,0.00011999999999999999,42
2,0.8176779080378381,1.4673906564712524,0.00017999999999999998,42
3,0.6671809910943634,1.4465866088867188,0.00023999999999999998,42
4,0.44154556389701993,1.0743991136550903,0.0003,42
5,0.31512391037846865,0.8270248770713806,0.0003,42
6,0.21610709230758643,0.5658625960350037,0.0002997069691715983,42
7,0.14431040038011575,0.5028852224349976,0.00029882903314519993,42
8,0.10590932106501177,0.47889244556427,0.00029736965673321026,42
9,0.08749097531759426,0.44465401768684387,0.0002953345994276017,42
10,0.07255825250850696,0.45051437616348267,0.00029273189266983027,42
11,0.06753633761974542,0.49336305260658264,0.0002895718081544053,42
12,0.05850791612541989,0.4616244435310364,0.00028586681729120386,42
13,0.061600300998083855,0.48974665999412537,0.0002816315419865137,42
14,0.055833967794713224,0.5286344289779663,0.0002768826969370492,42
15,0.04516833611322861,0.43673819303512573,0.00027163902366467965,42
16,0.037452658809917536,0.5285801291465759,0.0002659212165522047,42
17,0.04458334157243371,0.44757112860679626,0.0002597518411720796,42
18,0.038843664144606965,0.49219006299972534,0.0002531552452304103,42
19,0.04118791688233614,0.4600885510444641,0.0002461574624776804,42
20,0.03682994391573103,0.474702388048172,0.00023878610996543224,42
21,0.03780417685936156,0.44296571612358093,0.00023107027905438094,42
22,0.03499783891694326,0.4713084101676941,0.00022304042060410467,42
23,0.03649062839777846,0.45912161469459534,0.00021472822479741324,42
24,0.035947849692188595,0.5236073136329651,0.00020616649607367466,42
25,0.03792153111364888,0.4797614514827728,0.00019738902366467966,42
26,0.032479550125763604,0.47305819392204285,0.00018843044824398087,42
27,0.02572247751155182,0.4898943305015564,0.0001793261252159801,42
28,0.02227256496093775,0.475085586309433,0.00017011198518429918,42
29,0.028813108777333247,0.4754483699798584,0.00016082439215010303,42
30,0.029554932096384857,0.4872221350669861,0.00015149999999999997,42
31,0.024243383729634315,0.49187055230140686,0.00014217560784989694,42
32,0.025813118824245113,0.5185332298278809,0.0001328880148157008,42
33,0.028407601112695902,0.49156081676483154,0.0001236738747840199,42
34,0.024091920521306365,0.5005476474761963,0.00011456955175601904,42
35,0.021534500998984043,0.5130548477172852,0.00010561097633532034,42
36,0.02297938143295285,0.501754879951477,9.683350392632535e-05,42
37,0.0229095062731128,0.49580466747283936,8.82717752025867e-05,42
38,0.02832927705573016,0.5009128451347351,7.995957939589525e-05,42
39,0.022095423829006523,0.5141213536262512,7.192972094561895e-05,42
40,0.021171523071212794,0.49798470735549927,6.421389003456775e-05,42
41,0.023766368174141173,0.49606695771217346,5.6842537522319565e-05,42
42,0.019263551166085035,0.5068454146385193,4.9844754769589716e-05,42
43,0.019930034226394798,0.4992234706878662,4.324815882792041e-05,42
44,0.02505840022901171,0.49564647674560547,3.7078783447795306e-05,42
45,0.02148129322909211,0.500220775604248,3.1360976335320314e-05,42
46,0.024995174589811972,0.49952954053878784,2.611730306295079e-05,42
47,0.021992724064100338,0.5051813721656799,2.1368458013486254e-05,42
48,0.02443481349435292,0.5069222450256348,1.713318270879612e-05,42
49,0.019999119845267973,0.5050992369651794,1.3428191845594673e-05,42
50,0.025023572673825056,0.5067374110221863,1.0268107330169699e-05,42
51,0.021847718334021538,0.5072880983352661,7.6654005723983e-06,42
52,0.02216370417246301,0.5049261450767517,5.630343266789724e-06,42
53,0.024417333356962587,0.5055468082427979,4.170966854800051e-06,42
54,0.025962721752493007,0.5071616172790527,3.2930308284016733e-06,42
55,0.02319336914163279,0.5068955421447754,0.0003,42
0,0.9285007825023249,1.4920979738235474,5.9999999999999995e-05,2024
1,0.8692703741161447,1.5343784093856812,0.00011999999999999999,2024
2,0.7417443520144412,1.6258734464645386,0.00017999999999999998,2024
3,0.5545301662856027,1.6273689270019531,0.00023999999999999998,2024
4,0.47456268770130056,1.5146962404251099,0.0003,2024
5,0.43884504816838,1.4359996318817139,0.0003,2024
6,0.42257734824364124,1.3774833679199219,0.0002997069691715983,2024
7,0.4094613556210932,1.3181973695755005,0.00029882903314519993,2024
8,0.3647862994847329,1.1707507371902466,0.00029736965673321026,2024
9,0.2888814400587427,0.898406982421875,0.0002953345994276017,2024
10,0.20000962535605618,0.6356580853462219,0.00029273189266983027,2024
11,0.15084817231093584,0.5274791121482849,0.0002895718081544053,2024
12,0.1301791404226893,0.5399694442749023,0.00028586681729120386,2024
13,0.08122701423340722,0.4198101758956909,0.0002816315419865137,2024
14,0.08063994264720302,0.44919419288635254,0.0002768826969370492,2024
15,0.06925005169193212,0.4237810969352722,0.00027163902366467965,2024
16,0.06332035240178045,0.4548063576221466,0.0002659212165522047,2024
17,0.06320169097498844,0.4066310226917267,0.0002597518411720796,2024
18,0.056311555451860555,0.4190479815006256,0.0002531552452304103,2024
19,0.05809489103328241,0.4184982478618622,0.0002461574624776804,2024
20,0.051614229469315,0.42043793201446533,0.00023878610996543224,2024
21,0.05267873908834238,0.42548808455467224,0.00023107027905438094,2024
22,0.04548789499523608,0.4345968961715698,0.00022304042060410467,2024
23,0.038847385219445356,0.39653387665748596,0.00021472822479741324,2024
24,0.04797861705485143,0.39484280347824097,0.00020616649607367466,2024
25,0.0359892510490394,0.4269315004348755,0.00019738902366467966,2024
26,0.04342181144870425,0.44244152307510376,0.00018843044824398087,2024
27,0.037075204456127005,0.42085784673690796,0.0001793261252159801,2024
28,0.03527310038426597,0.40679022669792175,0.00017011198518429918,2024
29,0.03282811720610449,0.42269614338874817,0.00016082439215010303,2024
30,0.038826040972612406,0.41905319690704346,0.00015149999999999997,2024
31,0.03631378722524172,0.4004831612110138,0.00014217560784989694,2024
32,0.03188778312974855,0.41136276721954346,0.0001328880148157008,2024
33,0.030626782902369375,0.41540899872779846,0.0001236738747840199,2024
34,0.029769199802295157,0.41412705183029175,0.00011456955175601904,2024
35,0.03667438888040028,0.4089895188808441,0.00010561097633532034,2024
36,0.026097298011575874,0.41775938868522644,9.683350392632535e-05,2024
37,0.027044678548056828,0.3953845798969269,8.82717752025867e-05,2024
38,0.033306525168499274,0.39521846175193787,7.995957939589525e-05,2024
39,0.025978796980588845,0.399383008480072,7.192972094561895e-05,2024
40,0.031985872498664414,0.4062487483024597,6.421389003456775e-05,2024
41,0.02682365690308966,0.4173295795917511,5.6842537522319565e-05,2024
42,0.03398114825157743,0.40959346294403076,4.9844754769589716e-05,2024
43,0.029160593170672655,0.4143894910812378,4.324815882792041e-05,2024
44,0.02399957464934376,0.4208822548389435,3.7078783447795306e-05,2024
45,0.027844988789997603,0.41846075654029846,3.1360976335320314e-05,2024
46,0.025837921586475875,0.42151564359664917,2.611730306295079e-05,2024
47,0.026814230068243648,0.42042532563209534,2.1368458013486254e-05,2024
48,0.02671603962631994,0.4229573905467987,1.713318270879612e-05,2024
49,0.030146515707632427,0.41938769817352295,1.3428191845594673e-05,2024
50,0.02782542988854019,0.4207612872123718,1.0268107330169699e-05,2024
51,0.025936303574493842,0.42128708958625793,7.6654005723983e-06,2024
52,0.029148338056218467,0.4211161136627197,5.630343266789724e-06,2024
53,0.029888958939792293,0.4218524992465973,4.170966854800051e-06,2024
54,0.029303900223519457,0.4219280183315277,3.2930308284016733e-06,2024
55,0.03332366608083248,0.454332560300827,0.0003,2024
56,0.02761832124700672,0.44919800758361816,0.00029992672421431113,2024
57,0.024060392678764305,0.42117616534233093,0.0002997069691715983,2024
58,0.02195471918553506,0.4294000566005707,0.00029934095174355733,2024
59,0.022375100941740368,0.40970805287361145,0.00029882903314519993,2024
60,0.02605197045608963,0.42753276228904724,0.0002981717185783779,2024
61,0.02313458566602908,0.4322696328163147,0.00029736965673321026,2024
62,0.02437815301757502,0.38063228130340576,0.00029642363914790396,2024
63,0.02505360220828535,0.3979160785675049,0.0002953345994276017,2024
64,0.021555223587998433,0.40784287452697754,0.00029410361232302604,2024
65,0.017487619464334688,0.4192224442958832,0.00029273189266983027,2024
66,0.021239038863170304,0.3972938358783722,0.00029122079418970247,2024
67,0.018839323286604332,0.4268589913845062,0.0002895718081544053,2024
68,0.019684649599519998,0.4154474437236786,0.00028778656191407115,2024
69,0.015209154403572412,0.4203197658061981,0.00028586681729120386,2024
70,0.01721576103131826,0.41371724009513855,0.0002838144688419726,2024
71,0.017303530635361216,0.4202270805835724,0.0002816315419865137,2024
72,0.01396141093420355,0.44080668687820435,0.0002793201910100856,2024
73,0.016529854387044907,0.4724491834640503,0.0002768826969370492,2024
74,0.020399540025544793,0.44255226850509644,0.0002743214652797724,2024
75,0.01806758028013926,0.46051025390625,0.00027163902366467965,2024
76,0.014190339354651147,0.4789316654205322,0.00026883801933779,2024
77,0.017137307563404505,0.49423670768737793,0.0002659212165522047,2024
78,0.013367552487914892,0.47227659821510315,0.0002628914938401232,2024
79,0.014547773018038194,0.4553017318248749,0.0002597518411720796,2024
80,0.014056451251044086,0.45229458808898926,0.0002565053570062023,2024
81,0.012886693933978677,0.4962765574455261,0.0002531552452304103,2024
82,0.011537774925512312,0.4634307026863098,0.0002497048120005623,2024
83,0.014069345632666036,0.4801364839076996,0.0002461574624776804,2024
84,0.011363243540185258,0.4738503396511078,0.00024251669746746697,2024
85,0.015161021784144012,0.5023065805435181,0.00023878610996543224,2024
86,0.011850931234412679,0.4826873242855072,0.00023496938161104137,2024
87,0.01235577834794592,0.49201375246047974,0.00023107027905438094,2024
88,0.012415716063084179,0.4966932237148285,0.0002270926502389301,2024
89,0.013129952694534472,0.4859454929828644,0.00022304042060410467,2024
90,0.013402922838730248,0.47412773966789246,0.00021891758921132264,2024
91,0.011692309672454078,0.49772366881370544,0.00021472822479741324,2024
92,0.012251571935944651,0.4817042648792267,0.00021047646175926485,2024
93,0.011464437457585805,0.505470335483551,0.00020616649607367466,2024
94,0.010295922825063922,0.523156464099884,0.00020180258115642578,2024
95,0.009498824800462708,0.5183948278427124,0.00019738902366467966,2024
96,0.010309824683262329,0.521902322769165,0.00019293017924682554,2024
97,0.009495218443733296,0.5101057291030884,0.00018843044824398087,2024
98,0.0093877388311452,0.519193172454834,0.00018389427134738655,2024
99,0.010273778345435858,0.5088275671005249,0.0001793261252159801,2024
100,0.009103936657897736,0.5081992149353027,0.00017473051805847427,2024
101,0.009350430796315012,0.517467737197876,0.00017011198518429918,2024
102,0.009052934437549036,0.4918985068798065,0.00016547508452779933,2024
