epoch,train_loss,train_loss_step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,train_loss_epoch
0,1.9406859874725342,1.9406859874725342,4.343720436096191,0.20488305389881134,4.343720436096191,5.4221882820129395,0.18115247786045074,1.510666012763977,
1,0.8087719678878784,0.8087719678878784,3.930356979370117,0.16114163398742676,3.930356979370117,5.037929534912109,0.1641925573348999,1.275858759880066,3.617631435394287
2,0.7294028997421265,0.7294028997421265,4.226344585418701,0.1775599718093872,4.226344585418701,5.295470714569092,0.19505496323108673,1.3321701288223267,1.5711638927459717
3,0.9368985295295715,0.9368985295295715,4.014363765716553,0.16667769849300385,4.014363765716553,5.051210880279541,0.18253107368946075,1.269625186920166,1.087099313735962
4,1.0766867399215698,1.0766867399215698,4.1115031242370605,0.17394636571407318,4.1115031242370605,5.128515243530273,0.1905936598777771,1.3182793855667114,1.0607352256774902
5,0.6973145008087158,0.6973145008087158,4.263669490814209,0.17709983885288239,4.263669490814209,5.271135330200195,0.19645999372005463,1.350123405456543,1.026924729347229
6,0.5874887704849243,0.5874887704849243,4.238708972930908,0.17542333900928497,4.238708972930908,5.3018717765808105,0.19532744586467743,1.3298754692077637,0.924777626991272
7,0.5145959854125977,0.5145959854125977,4.109186172485352,0.17147691547870636,4.109186172485352,5.125779628753662,0.18798911571502686,1.316771388053894,0.8638008832931519
8,0.7646715641021729,0.7646715641021729,3.7415707111358643,0.15382827818393707,3.7415707111358643,4.726685047149658,0.16089332103729248,1.2304778099060059,0.9228463172912598
9,0.9737107753753662,0.9737107753753662,3.7590930461883545,0.155963733792305,3.7590930461883545,4.781233310699463,0.16434425115585327,1.2241157293319702,0.8801256418228149
10,0.7611594200134277,0.7611594200134277,4.059197425842285,0.16763556003570557,4.059197425842285,5.133742809295654,0.18553847074508667,1.292875051498413,0.9057048559188843
11,0.767061710357666,0.767061710357666,3.840867042541504,0.1592608541250229,3.840867042541504,4.855564117431641,0.17083026468753815,1.246397614479065,0.857669472694397
12,0.9925475120544434,0.9925475120544434,3.7529423236846924,0.15658746659755707,3.7529423236846924,4.789881229400635,0.1645500808954239,1.2226258516311646,0.7122176289558411
13,0.5098263621330261,0.5098263621330261,3.9840755462646484,0.16850395500659943,3.9840755462646484,5.032674312591553,0.18369197845458984,1.2805148363113403,0.8680265545845032
14,1.918891429901123,1.918891429901123,4.199979305267334,0.17498068511486053,4.199979305267334,5.233788013458252,0.1930803656578064,1.3573938608169556,0.8446191549301147
15,0.6956489086151123,0.6956489086151123,4.058104038238525,0.17130692303180695,4.058104038238525,5.048449993133545,0.18833130598068237,1.3442916870117188,0.8266571164131165
16,0.7965313196182251,0.7965313196182251,3.9959685802459717,0.16928084194660187,3.9959685802459717,5.045228958129883,0.1840943545103073,1.3037291765213013,0.861638069152832
17,0.7999886870384216,0.7999886870384216,3.812556505203247,0.15999658405780792,3.812556505203247,4.864471912384033,0.16673481464385986,1.264147162437439,0.7264601588249207
18,0.5512866973876953,0.5512866973876953,3.8123152256011963,0.1582862287759781,3.8123152256011963,4.806128025054932,0.16862136125564575,1.2748470306396484,0.7782095074653625
