epoch,train_loss,val_loss,lr,seed
0,0.7589976764038989,1.9042154550552368,5.9999999999999995e-05,42
1,0.6758334738643546,1.7842363119125366,0.00011999999999999999,42
2,0.5756195258153113,1.5816339254379272,0.00017999999999999998,42
3,0.4476741677836368,1.2540744543075562,0.00023999999999999998,42
4,0.26949635285295936,0.7422647476196289,0.0003,42
5,0.16361995325668863,0.46013328433036804,0.0003,42
6,0.11865523084998131,0.35154619812965393,0.0002997069691715983,42
7,0.11147875485843733,0.32445645332336426,0.00029882903314519993,42
8,0.10382286870950147,0.33473333716392517,0.00029736965673321026,42
9,0.10025166450558524,0.3262269198894501,0.0002953345994276017,42
10,0.08955495157524158,0.3066389262676239,0.00029273189266983027,42
11,0.0884862817627819,0.3067907392978668,0.0002895718081544053,42
12,0.07341623080796317,0.3310178220272064,0.00028586681729120386,42
13,0.0743615630229837,0.29399076104164124,0.0002816315419865137,42
14,0.06881379625318866,0.3059178292751312,0.0002768826969370492,42
15,0.058482117558780466,0.29621806740760803,0.00027163902366467965,42
16,0.0771534892387296,0.2764878273010254,0.0002659212165522047,42
17,0.06330587523744295,0.30339738726615906,0.0002597518411720796,42
18,0.06661262272514011,0.3116534352302551,0.0002531552452304103,42
19,0.06861661869640413,0.30629831552505493,0.0002461574624776804,42
20,0.06659263764557086,0.3259238600730896,0.00023878610996543224,42
21,0.05705541514448429,0.26611244678497314,0.00023107027905438094,42
22,0.07125887559040596,0.30809783935546875,0.00022304042060410467,42
23,0.0643425906861299,0.30759960412979126,0.00021472822479741324,42
24,0.06350007035622471,0.28253883123397827,0.00020616649607367466,42
25,0.06092024687677622,0.31345537304878235,0.00019738902366467966,42
26,0.057291360326895586,0.2895635664463043,0.00018843044824398087,42
27,0.05345443170517683,0.30891546607017517,0.0001793261252159801,42
28,0.06381480631075408,0.2991984784603119,0.00017011198518429918,42
29,0.06442230692329376,0.2970217764377594,0.00016082439215010303,42
30,0.060583595284505895,0.3116878271102905,0.00015149999999999997,42
31,0.05369396260204284,0.3057171702384949,0.00014217560784989694,42
32,0.05442972633203393,0.3092152178287506,0.0001328880148157008,42
33,0.054335100429230614,0.3099462687969208,0.0001236738747840199,42
34,0.04384480997625934,0.31132200360298157,0.00011456955175601904,42
35,0.05271305241867116,0.2944779694080353,0.00010561097633532034,42
36,0.061846601384642874,0.29468274116516113,9.683350392632535e-05,42
37,0.05455913426550595,0.3125382363796234,8.82717752025867e-05,42
38,0.047633398912454904,0.3013688027858734,7.995957939589525e-05,42
39,0.05410072653505363,0.30220353603363037,7.192972094561895e-05,42
40,0.04061995696668562,0.29225030541419983,6.421389003456775e-05,42
41,0.051194379743384685,0.29474565386772156,5.6842537522319565e-05,42
42,0.047743039254687335,0.3032410740852356,4.9844754769589716e-05,42
43,0.05627848024136926,0.3144945204257965,4.324815882792041e-05,42
44,0.05068281954644542,0.314644992351532,3.7078783447795306e-05,42
45,0.045104464712111575,0.31373414397239685,3.1360976335320314e-05,42
46,0.053461618574434204,0.3129512071609497,2.611730306295079e-05,42
47,0.04740861205286101,0.31143829226493835,2.1368458013486254e-05,42
48,0.04775296181048218,0.31353870034217834,1.713318270879612e-05,42
49,0.05910827312618494,0.3102208971977234,1.3428191845594673e-05,42
50,0.04884642396906489,0.3076288104057312,1.0268107330169699e-05,42
51,0.045941056879727465,0.3058987259864807,7.6654005723983e-06,42
52,0.047968485245579166,0.30595749616622925,5.630343266789724e-06,42
53,0.05293135126856597,0.3063027858734131,4.170966854800051e-06,42
54,0.05174929121705262,0.30678731203079224,3.2930308284016733e-06,42
