epoch,train_loss,train_loss_step,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,train_loss_epoch
0,10.34151554107666,10.34151554107666,19.978099822998047,1.027828335762024,19.978099822998047,27.412275314331055,0.6347627639770508,5.551045894622803,
1,9.217830657958984,9.217830657958984,20.736547470092773,1.189223289489746,20.736547470092773,27.051034927368164,0.7069534659385681,6.344287872314453,13.910470962524414
2,12.526449203491211,12.526449203491211,20.78759002685547,1.2456134557724,20.78759002685547,26.710861206054688,0.7250469326972961,6.556085109710693,10.646554946899414
3,9.074155807495117,9.074155807495117,19.34727668762207,1.0847715139389038,19.34727668762207,25.42845916748047,0.6535018086433411,5.8647942543029785,10.051129341125488
4,4.149966716766357,4.149966716766357,18.149465560913086,0.9791398048400879,18.149465560913086,24.022790908813477,0.6063625812530518,5.426489353179932,7.643923759460449
5,8.519258499145508,8.519258499145508,16.810739517211914,0.8678638935089111,16.810739517211914,22.243989944458008,0.5615293979644775,5.037466526031494,8.686910629272461
6,7.921982288360596,7.921982288360596,14.604094505310059,0.6931706070899963,14.604094505310059,19.542421340942383,0.4785498082637787,4.312796115875244,8.1233491897583
7,7.7871527671813965,7.7871527671813965,11.497607231140137,0.48854541778564453,11.497607231140137,15.688824653625488,0.3670789301395416,3.3129656314849854,7.505402565002441
8,6.572077751159668,6.572077751159668,7.8026251792907715,0.2991224527359009,7.8026251792907715,10.623964309692383,0.2657442092895508,2.254260778427124,7.1600751876831055
9,5.73457145690918,5.73457145690918,6.324280261993408,0.25547900795936584,6.324280261993408,7.78801965713501,0.26754507422447205,2.074385404586792,6.040627479553223
10,4.355799674987793,4.355799674987793,5.430727005004883,0.23206031322479248,5.430727005004883,6.47864294052124,0.25439903140068054,1.9783023595809937,5.570300102233887
11,3.705047607421875,3.705047607421875,4.887630462646484,0.21550412476062775,4.887630462646484,5.88465690612793,0.23555268347263336,1.948232650756836,4.386904239654541
12,2.432365894317627,2.432365894317627,3.8361399173736572,0.1770283430814743,3.8361399173736572,5.092371463775635,0.17246317863464355,1.6207448244094849,4.019509792327881
13,4.199465274810791,4.199465274810791,4.257587909698486,0.19619180262088776,4.257587909698486,5.573738098144531,0.18969738483428955,1.7380619049072266,2.7868106365203857
14,2.9627904891967773,2.9627904891967773,4.258974552154541,0.2014540582895279,4.258974552154541,5.36986780166626,0.2106773406267166,1.8911234140396118,3.031223773956299
15,1.9740384817123413,1.9740384817123413,4.392780780792236,0.2027856707572937,4.392780780792236,5.489739894866943,0.22462494671344757,1.9919148683547974,2.7553396224975586
16,2.383765697479248,2.383765697479248,4.395059108734131,0.1979081630706787,4.395059108734131,5.594961643218994,0.20947487652301788,1.8295458555221558,3.05815052986145
17,3.1626224517822266,3.1626224517822266,5.035504341125488,0.20460842549800873,5.035504341125488,7.138258457183838,0.19168753921985626,1.6921415328979492,2.6833736896514893
18,3.4327516555786133,3.4327516555786133,4.653519153594971,0.19857434928417206,4.653519153594971,6.411738872528076,0.19338738918304443,1.6901172399520874,2.722604274749756
19,1.7339766025543213,1.7339766025543213,5.215513229370117,0.21656958758831024,5.215513229370117,6.482840061187744,0.24472005665302277,2.14009165763855,2.458207607269287
20,2.916409492492676,2.916409492492676,6.333293437957764,0.2478550672531128,6.333293437957764,7.893566131591797,0.2949933409690857,2.4976489543914795,2.4740843772888184
21,2.2351503372192383,2.2351503372192383,4.487778186798096,0.19617290794849396,4.487778186798096,5.764028549194336,0.19722197949886322,1.7331374883651733,2.554381847381592
22,1.648017406463623,1.648017406463623,5.667640686035156,0.23738311231136322,5.667640686035156,8.055428504943848,0.21429838240146637,1.8380193710327148,2.6930992603302
