epoch,train_loss,train_loss_step,train_backcast_loss,train_backcast_loss_step,train_forecast_loss,train_forecast_loss_step,val_backcast_loss,val_forecast_loss,val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,train_loss_epoch,train_backcast_loss_epoch,train_forecast_loss_epoch
0,6.31818962097168,6.31818962097168,0.02984611503779888,0.02984611503779888,6.31818962097168,6.31818962097168,0.04108946770429611,7.561018466949463,7.561018466949463,1.6515636444091797,23.25604248046875,27.110586166381836,0.9032420516014099,7.561018466949463,,,
1,5.436201095581055,5.436201095581055,0.029688306152820587,0.029688306152820587,5.436201095581055,5.436201095581055,0.03714754804968834,6.797418117523193,6.797418117523193,1.3178561925888062,20.94965171813965,25.015588760375977,0.7866804003715515,6.797418117523193,7.255192756652832,0.033244069665670395,7.255192756652832
2,4.473937034606934,4.473937034606934,0.025112001225352287,0.025112001225352287,4.473937034606934,4.473937034606934,0.033097341656684875,6.008632659912109,6.008632659912109,1.042376160621643,18.55707359313965,22.904558181762695,0.6662047505378723,6.008632659912109,6.339785575866699,0.029788043349981308,6.339785575866699
3,5.368873596191406,5.368873596191406,0.020512348040938377,0.020512348040938377,5.368873596191406,5.368873596191406,0.028744710609316826,5.144663333892822,5.144663333892822,0.7964680790901184,15.923260688781738,20.673843383789062,0.5349597930908203,5.144663333892822,5.905396938323975,0.02662060037255287,5.905396938323975
4,4.518039226531982,4.518039226531982,0.018666017800569534,0.018666017800569534,4.518039226531982,4.518039226531982,0.02404520846903324,4.27589225769043,4.27589225769043,0.6041415333747864,13.524243354797363,18.394533157348633,0.4277394711971283,4.27589225769043,5.32351016998291,0.02288137748837471,5.32351016998291
5,3.6366443634033203,3.6366443634033203,0.015718692913651466,0.015718692913651466,3.6366443634033203,3.6366443634033203,0.019335439428687096,3.6145763397216797,3.6145763397216797,0.49794086813926697,12.060481071472168,16.495201110839844,0.39382204413414,3.6145763397216797,4.622265338897705,0.019420873373746872,4.622265338897705
6,3.42814040184021,3.42814040184021,0.01179491262882948,0.01179491262882948,3.42814040184021,3.42814040184021,0.015390865504741669,3.267580986022949,3.267580986022949,0.44825389981269836,11.439913749694824,15.391581535339355,0.41652271151542664,3.267580986022949,3.754803419113159,0.015958666801452637,3.754803419113159
7,2.745239019393921,2.745239019393921,0.01085346844047308,0.01085346844047308,2.745239019393921,2.745239019393921,0.013565488159656525,3.1139955520629883,3.1139955520629883,0.42536917328834534,11.218631744384766,14.855486869812012,0.44270429015159607,3.1139955520629883,3.663607120513916,0.012974148616194725,3.663607120513916
8,3.1614339351654053,3.1614339351654053,0.01042768731713295,0.01042768731713295,3.1614339351654053,3.1614339351654053,0.013581615872681141,3.0156517028808594,3.0156517028808594,0.410778284072876,10.84634017944336,14.353080749511719,0.4304080903530121,3.0156517028808594,3.1194937229156494,0.010922685265541077,3.1194937229156494
9,3.185753583908081,3.185753583908081,0.010793130844831467,0.010793130844831467,3.185753583908081,3.185753583908081,0.014643877744674683,2.918823003768921,2.918823003768921,0.39658474922180176,10.350531578063965,13.881690979003906,0.390356183052063,2.918823003768921,3.085904598236084,0.010962157510221004,3.085904598236084
10,3.4090800285339355,3.4090800285339355,0.01127846259623766,0.01127846259623766,3.4090800285339355,3.4090800285339355,0.015269305557012558,2.8429110050201416,2.8429110050201416,0.38319826126098633,9.945666313171387,13.40906047821045,0.3656123876571655,2.8429110050201416,3.0963797569274902,0.011302844621241093,3.0963797569274902
11,3.170466899871826,3.170466899871826,0.011135086417198181,0.011135086417198181,3.170466899871826,3.170466899871826,0.015215813182294369,2.7158167362213135,2.7158167362213135,0.36443185806274414,9.485925674438477,12.797320365905762,0.3503684997558594,2.7158167362213135,2.946281909942627,0.011413080617785454,2.946281909942627
12,1.8554601669311523,1.8554601669311523,0.010796950198709965,0.010796950198709965,1.8554601669311523,1.8554601669311523,0.014890042133629322,2.598275899887085,2.598275899887085,0.3477908670902252,9.073047637939453,12.20081615447998,0.3423800468444824,2.598275899887085,2.9356682300567627,0.011869397014379501,2.9356682300567627
13,3.151846408843994,3.151846408843994,0.011571038514375687,0.011571038514375687,3.151846408843994,3.151846408843994,0.015744226053357124,2.5139100551605225,2.5139100551605225,0.3309197723865509,8.606703758239746,11.70656967163086,0.31046757102012634,2.5139100551605225,2.86376690864563,0.011400697752833366,2.86376690864563
14,3.2629354000091553,3.2629354000091553,0.01358396839350462,0.01358396839350462,3.2629354000091553,3.2629354000091553,0.016637690365314484,2.4476544857025146,2.4476544857025146,0.3143106997013092,8.179947853088379,11.26955509185791,0.28145673871040344,2.4476544857025146,2.6516270637512207,0.011733351275324821,2.6516270637512207
15,1.9634904861450195,1.9634904861450195,0.011962159536778927,0.011962159536778927,1.9634904861450195,1.9634904861450195,0.015926379710435867,2.322838306427002,2.322838306427002,0.299520343542099,7.79914665222168,10.64216136932373,0.279247522354126,2.322838306427002,2.643986225128174,0.012390347197651863,2.643986225128174
16,2.509267568588257,2.509267568588257,0.012293366715312004,0.012293366715312004,2.509267568588257,2.509267568588257,0.015420575626194477,2.2334744930267334,2.2334744930267334,0.2882232666015625,7.486494541168213,10.047290802001953,0.27882733941078186,2.2334744930267334,2.583817958831787,0.01229189895093441,2.583817958831787
17,2.3315720558166504,2.3315720558166504,0.01309122983366251,0.01309122983366251,2.3315720558166504,2.3315720558166504,0.015107872895896435,2.141580581665039,2.141580581665039,0.2767253816127777,7.142362594604492,9.498565673828125,0.27668216824531555,2.141580581665039,2.4205775260925293,0.01223701424896717,2.4205775260925293
18,2.1068835258483887,2.1068835258483887,0.013289649970829487,0.013289649970829487,2.1068835258483887,2.1068835258483887,0.015222909860312939,2.0481443405151367,2.0481443405151367,0.2626489996910095,6.748694896697998,8.945088386535645,0.26444435119628906,2.0481443405151367,2.5159873962402344,0.012163670733571053,2.5159873962402344
19,1.7800092697143555,1.7800092697143555,0.012417590245604515,0.012417590245604515,1.7800092697143555,1.7800092697143555,0.016189642250537872,1.9248484373092651,1.9248484373092651,0.23602132499217987,6.110928058624268,8.303027153015137,0.22500668466091156,1.9248484373092651,2.4267947673797607,0.012388170696794987,2.4267947673797607
20,1.5698872804641724,1.5698872804641724,0.012379254214465618,0.012379254214465618,1.5698872804641724,1.5698872804641724,0.017661983147263527,1.9108158349990845,1.9108158349990845,0.22588181495666504,5.784826278686523,7.954946517944336,0.20020818710327148,1.9108158349990845,2.002336263656616,0.012719008140265942,2.002336263656616
21,2.2705283164978027,2.2705283164978027,0.011978834867477417,0.011978834867477417,2.2705283164978027,2.2705283164978027,0.01746678166091442,1.8271209001541138,1.8271209001541138,0.21613095700740814,5.522792816162109,7.494422435760498,0.19582414627075195,1.8271209001541138,2.1812922954559326,0.0130607383325696,2.1812922954559326
22,1.9290581941604614,1.9290581941604614,0.015198229812085629,0.015198229812085629,1.9290581941604614,1.9290581941604614,0.016189344227313995,1.7656326293945312,1.7656326293945312,0.21392638981342316,5.4402031898498535,7.221353054046631,0.21517880260944366,1.7656326293945312,2.1385281085968018,0.013620098121464252,2.1385281085968018
