"term","estimate","std_error","p_value"
"intercept_shift_NPI_start",-20.9305019390882,6.13357312527861,0.000722207076144452
"slope_change_during_NPI",-0.590047122653083,0.370725991955432,0.112412383396807
"intercept_shift_NPI_end",11.3596538437906,3.0914789506396,0.000277131962124624
"slope_change_post_NPI",-0.0166508111890877,0.0337737885598708,0.622326696135459
"R2_baseline",0.407152331117134,NA,NA
"R2_ITS",0.46954337954154,NA,NA
