population,strategy,n_seed,inf_averted_per_dose_mean,inf_averted_per_dose_ci_lo,inf_averted_per_dose_ci_hi,inf_averted_per_dose_sd,deaths_averted_per_dose_mean,deaths_averted_per_dose_ci_lo,deaths_averted_per_dose_ci_hi
heterogeneous,uniform,30,1.3822933333333334,1.3250783099389778,1.439508356727689,0.15322464673744915,0.00026666666666666673,-0.0002126646685486598,0.0007459980018819933
heterogeneous,target_elderly,30,1.108453333333333,1.0397620713815863,1.1771445952850799,0.18395857804620477,0.00013333333333333334,-0.00024357583211237813,0.0005102424987790448
heterogeneous,target_high_contact,30,1.8335466666666664,1.7744626941863528,1.89263063914698,0.15822978431280935,0.0006933333333333335,0.00019883488028810863,0.0011878317863785583
homogeneous,uniform,30,1.0824266666666666,1.0261003096462,1.1387530236871333,0.1508447544796404,0.0003200000000000001,-1.833264898956757e-05,0.0006583326489895678
homogeneous,target_elderly,30,1.0919999999999999,1.021143566700163,1.1628564332998368,0.18975701340907283,0.0003733333333333334,7.221448253575313e-05,0.0006744521841309136
homogeneous,target_high_contact,30,1.0919999999999999,1.021143566700163,1.1628564332998368,0.18975701340907283,0.0003733333333333334,7.221448253575313e-05,0.0006744521841309136
