yyyymm,arrivals_persons,source_tbl
202307,1032188,DT_TRD_TGT_ENT_AGG_MONTH
202308,1089133,DT_TRD_TGT_ENT_AGG_MONTH
202309,1098034,DT_TRD_TGT_ENT_AGG_MONTH
202310,1229899,DT_TRD_TGT_ENT_AGG_MONTH
202311,1114990,DT_TRD_TGT_ENT_AGG_MONTH
202312,1036625,DT_TRD_TGT_ENT_AGG_MONTH
202401,880881,DT_TRD_TGT_ENT_AGG_MONTH
202402,1030244,DT_TRD_TGT_ENT_AGG_MONTH
202403,1491748,DT_TRD_TGT_ENT_AGG_MONTH
202404,1462797,DT_TRD_TGT_ENT_AGG_MONTH
202405,1418463,DT_TRD_TGT_ENT_AGG_MONTH
202406,1417274,DT_TRD_TGT_ENT_AGG_MONTH
202407,1408499,DT_TRD_TGT_ENT_AGG_MONTH
202408,1563221,DT_TRD_TGT_ENT_AGG_MONTH
202409,1464300,DT_TRD_TGT_ENT_AGG_MONTH
202410,1600263,DT_TRD_TGT_ENT_AGG_MONTH
202411,1361076,DT_TRD_TGT_ENT_AGG_MONTH
202412,1270863,DT_TRD_TGT_ENT_AGG_MONTH
202501,1117243,DT_TRD_TGT_ENT_AGG_MONTH
202502,1138408,DT_TRD_TGT_ENT_AGG_MONTH
202503,1614596,DT_TRD_TGT_ENT_AGG_MONTH
202504,1707113,DT_TRD_TGT_ENT_AGG_MONTH
202505,1629387,DT_TRD_TGT_ENT_AGG_MONTH
202506,1619220,DT_TRD_TGT_ENT_AGG_MONTH
202507,1733199,DT_TRD_TGT_ENT_AGG_MONTH
202508,1820332,DT_TRD_TGT_ENT_AGG_MONTH
202509,1702813,DT_TRD_TGT_ENT_AGG_MONTH
202510,1739020,DT_TRD_TGT_ENT_AGG_MONTH
202511,1596939,DT_TRD_TGT_ENT_AGG_MONTH
202512,1518292,DT_TRD_TGT_ENT_AGG_MONTH
