location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
South Korea,KOR,2022-12-24,,44767526,44350277,,,,,86.4,85.59,,,193,0.0
South Korea,KOR,2022-12-25,,44767526,44350281,,,,,86.4,85.59,,,193,0.0
South Korea,KOR,2022-12-26,,44767788,44350516,,,,,86.4,85.59,,,196,0.0
South Korea,KOR,2022-12-27,,44768037,44350779,,,,,86.4,85.59,,,194,0.0
South Korea,KOR,2022-12-28,,44768291,44351081,,,,,86.4,85.59,,,197,0.0
South Korea,KOR,2022-12-29,,44768541,44351359,,,,,86.4,85.59,,,202,0.0
South Korea,KOR,2022-12-30,,44768872,44351749,,,,,86.4,85.6,,,209,0.0
South Korea,KOR,2022-12-31,,44768987,44351863,,,,,86.4,85.6,,,209,0.0
South Korea,KOR,2023-01-01,,44768987,44351864,,,,,86.4,85.6,,,209,0.0
South Korea,KOR,2023-01-02,,44769194,44352128,,,,,86.4,85.6,,,201,0.0
South Korea,KOR,2023-01-03,,44769436,44352377,,,,,86.4,85.6,,,200,0.0
South Korea,KOR,2023-01-04,,44769631,44352595,,,,,86.4,85.6,,,191,0.0
South Korea,KOR,2023-01-05,,44769873,44352845,,,,,86.4,85.6,,,190,0.0
South Korea,KOR,2023-01-06,,44770190,44353261,,,,,86.4,85.6,,,188,0.0
South Korea,KOR,2023-01-07,,44770345,44353435,,,,,86.4,85.6,,,194,0.0
South Korea,KOR,2023-01-08,,44770352,44353438,,,,,86.4,85.6,,,195,0.0
South Korea,KOR,2023-01-09,,44770614,44353708,,,,,86.4,85.6,,,203,0.0
South Korea,KOR,2023-01-10,,44770889,44353959,,,,,86.4,85.6,,,208,0.0
South Korea,KOR,2023-01-11,,44771216,44354229,,,,,86.4,85.6,,,226,0.0
South Korea,KOR,2023-01-12,,44771510,44354511,,,,,86.41,85.6,,,234,0.0
South Korea,KOR,2023-01-13,,44771821,44354899,,,,,86.41,85.6,,,233,0.0
South Korea,KOR,2023-01-14,,44771955,44355059,,,,,86.41,85.6,,,230,0.0
South Korea,KOR,2023-01-15,,44771956,44355061,,,,,86.41,85.6,,,229,0.0
South Korea,KOR,2023-01-16,,44772221,44355380,,,,,86.41,85.6,,,230,0.0
South Korea,KOR,2023-01-17,,44772416,44355656,,,,,86.41,85.6,,,218,0.0
South Korea,KOR,2023-01-18,,44772690,44355946,,,,,86.41,85.6,,,211,0.0
South Korea,KOR,2023-01-19,,44772938,44356205,,,,,86.41,85.6,,,204,0.0
South Korea,KOR,2023-01-20,,44773257,44356603,,,,,86.41,85.6,,,205,0.0
South Korea,KOR,2023-01-21,,44773269,44356631,,,,,86.41,85.6,,,188,0.0
South Korea,KOR,2023-01-22,,44773271,44356631,,,,,86.41,85.6,,,188,0.0
South Korea,KOR,2023-01-23,,44773273,44356634,,,,,86.41,85.6,,,150,0.0
South Korea,KOR,2023-01-24,,44773290,44356658,,,,,86.41,85.6,,,125,0.0
South Korea,KOR,2023-01-25,,44773496,44356983,,,,,86.41,85.61,,,115,0.0
South Korea,KOR,2023-01-26,,44773695,44357307,,,,,86.41,85.61,,,108,0.0
South Korea,KOR,2023-01-27,,44773937,44357768,,,,,86.41,85.61,,,97,0.0
South Korea,KOR,2023-01-28,,44774055,44357989,,,,,86.41,85.61,,,112,0.0
South Korea,KOR,2023-01-29,,44774061,44357995,,,,,86.41,85.61,,,113,0.0
South Korea,KOR,2023-01-30,,44774264,44358298,,,,,86.41,85.61,,,142,0.0
South Korea,KOR,2023-01-31,,44774458,44358594,,,,,86.41,85.61,,,167,0.0
South Korea,KOR,2023-02-01,,44774604,44358830,,,,,86.41,85.61,,,158,0.0
South Korea,KOR,2023-02-02,,44774737,44359032,,,,,86.41,85.61,,,149,0.0
South Korea,KOR,2023-02-03,,44774948,44359346,,,,,86.41,85.61,,,144,0.0
South Korea,KOR,2023-02-04,,44775047,44359469,,,,,86.41,85.61,,,142,0.0
South Korea,KOR,2023-02-05,,44775051,44359477,,,,,86.41,85.61,,,141,0.0
South Korea,KOR,2023-02-06,,44775195,44359705,,,,,86.41,85.61,,,133,0.0
South Korea,KOR,2023-02-07,,44775329,44359918,,,,,86.41,85.61,,,124,0.0
South Korea,KOR,2023-02-08,,44775493,44360132,,,,,86.41,85.61,,,127,0.0
South Korea,KOR,2023-02-09,,44775640,44360339,,,,,86.41,85.61,,,129,0.0
South Korea,KOR,2023-02-10,,44775836,44360634,,,,,86.41,85.61,,,127,0.0
South Korea,KOR,2023-02-11,,44775950,44360754,,,,,86.41,85.61,,,129,0.0
South Korea,KOR,2023-02-12,,44775955,44360760,,,,,86.41,85.61,,,129,0.0
South Korea,KOR,2023-02-13,,44776120,44360897,,,,,86.41,85.61,,,132,0.0
South Korea,KOR,2023-02-14,,44776311,44361078,,,,,86.41,85.61,,,140,0.0
South Korea,KOR,2023-02-15,,44776539,44361325,,,,,86.41,85.61,,,149,0.0
South Korea,KOR,2023-02-16,,44776693,44361504,,,,,86.42,85.61,,,150,0.0
South Korea,KOR,2023-02-17,,44776920,44361765,,,,,86.42,85.61,,,155,0.0
South Korea,KOR,2023-02-18,,44777018,44361893,,,,,86.42,85.61,,,153,0.0
South Korea,KOR,2023-02-19,,44777022,44361895,,,,,86.42,85.61,,,152,0.0
South Korea,KOR,2023-02-20,,44777162,44362070,,,,,86.42,85.61,,,149,0.0
South Korea,KOR,2023-02-21,,44777411,44362265,,,,,86.42,85.62,,,157,0.0
South Korea,KOR,2023-02-22,,44777703,44362498,,,,,86.42,85.62,,,166,0.0
South Korea,KOR,2023-02-23,,44778005,44362794,,,,,86.42,85.62,,,187,0.0
South Korea,KOR,2023-02-24,,44778428,44363163,,,,,86.42,85.62,,,215,0.0
South Korea,KOR,2023-02-25,,44778622,44363360,,,,,86.42,85.62,,,229,0.0
South Korea,KOR,2023-02-26,,44778626,44363366,,,,,86.42,85.62,,,229,0.0
South Korea,KOR,2023-02-27,,44778836,44363603,,,,,86.42,85.62,,,239,0.0
South Korea,KOR,2023-02-28,,44779030,44363789,,,,,86.42,85.62,,,231,0.0
South Korea,KOR,2023-03-01,,44779055,44363806,,,,,86.42,85.62,,,193,0.0
South Korea,KOR,2023-03-02,,44779215,44364006,,,,,86.42,85.62,,,173,0.0
South Korea,KOR,2023-03-03,,44779393,44364235,,,,,86.42,85.62,,,138,0.0
South Korea,KOR,2023-03-04,,44779473,44364382,,,,,86.42,85.62,,,122,0.0
South Korea,KOR,2023-03-05,,44779474,44364383,,,,,86.42,85.62,,,121,0.0
South Korea,KOR,2023-03-06,,44779570,44364510,,,,,86.42,85.62,,,105,0.0
South Korea,KOR,2023-03-07,,44779686,44364670,,,,,86.42,85.62,,,94,0.0
South Korea,KOR,2023-03-08,,44779828,44364844,,,,,86.42,85.62,,,110,0.0
South Korea,KOR,2023-03-09,,44779957,44364984,,,,,86.42,85.62,,,106,0.0
South Korea,KOR,2023-03-10,,44780143,44365216,,,,,86.42,85.62,,,107,0.0
South Korea,KOR,2023-03-11,,44780222,44365354,,,,,86.42,85.62,,,107,0.0
South Korea,KOR,2023-03-12,,44780225,44365358,,,,,86.42,85.62,,,107,0.0
South Korea,KOR,2023-03-13,,44780314,44365479,,,,,86.42,85.62,,,106,0.0
South Korea,KOR,2023-03-14,,44780438,44365626,,,,,86.42,85.62,,,107,0.0
South Korea,KOR,2023-03-15,,44780568,44365777,,,,,86.42,85.62,,,106,0.0
South Korea,KOR,2023-03-16,,44780674,44365930,,,,,86.42,85.62,,,102,0.0
South Korea,KOR,2023-03-17,,44780799,44366154,,,,,86.42,85.62,,,94,0.0
South Korea,KOR,2023-03-18,,44780870,44366248,,,,,86.42,85.62,,,93,0.0
South Korea,KOR,2023-03-19,,44780873,44366250,,,,,86.42,85.62,,,93,0.0
South Korea,KOR,2023-03-20,,44780967,44366362,,,,,86.42,85.62,,,93,0.0
South Korea,KOR,2023-03-21,,44781064,44366482,,,,,86.42,85.62,,,89,0.0
South Korea,KOR,2023-03-22,,44781162,44366574,,,,,86.42,85.62,,,85,0.0
South Korea,KOR,2023-03-23,,44781267,44366720,,,,,86.42,85.62,,,85,0.0
South Korea,KOR,2023-03-24,,44781380,44366904,,,,,86.42,85.62,,,83,0.0
South Korea,KOR,2023-03-25,,44781424,44366997,,,,,86.42,85.62,,,79,0.0
South Korea,KOR,2023-03-26,,44781426,44366998,,,,,86.42,85.62,,,79,0.0
South Korea,KOR,2023-03-27,,44781500,44367125,,,,,86.42,85.62,,,76,0.0
South Korea,KOR,2023-03-28,,44781595,44367265,,,,,86.42,85.62,,,76,0.0
South Korea,KOR,2023-03-29,,44781704,44367405,,,,,86.42,85.63,,,77,0.0
South Korea,KOR,2023-03-30,,44781807,44367544,,,,,86.42,85.63,,,77,0.0
South Korea,KOR,2023-03-31,,44781921,44367739,,,,,86.43,85.63,,,77,0.0
South Korea,KOR,2023-04-01,,44781971,44367824,,,,,86.43,85.63,,,78,0.0
South Korea,KOR,2023-04-02,,44781973,44367828,,,,,86.43,85.63,,,78,0.0
South Korea,KOR,2023-04-03,,44782038,44367938,,,,,86.43,85.63,,,77,0.0
South Korea,KOR,2023-04-04,,44782126,44368056,,,,,86.43,85.63,,,76,0.0
South Korea,KOR,2023-04-05,,44782213,44368176,,,,,86.43,85.63,,,73,0.0
South Korea,KOR,2023-04-06,,44782297,44368293,,,,,86.43,85.63,,,70,0.0
South Korea,KOR,2023-04-07,,44782403,44368453,,,,,86.43,85.63,,,69,0.0
South Korea,KOR,2023-04-08,,44782466,44368555,,,,,86.43,85.63,,,71,0.0
South Korea,KOR,2023-04-09,,44782469,44368558,,,,,86.43,85.63,,,71,0.0
South Korea,KOR,2023-04-10,,44782550,44368693,,,,,86.43,85.63,,,73,0.0
South Korea,KOR,2023-04-11,,44782624,44368823,,,,,86.43,85.63,,,71,0.0
South Korea,KOR,2023-04-12,,44782695,44368953,,,,,86.43,85.63,,,69,0.0
South Korea,KOR,2023-04-13,,44782770,44369083,,,,,86.43,85.63,,,68,0.0
South Korea,KOR,2023-04-14,,44782849,44369307,,,,,86.43,85.63,,,64,0.0
South Korea,KOR,2023-04-15,,44782915,44369383,,,,,86.43,85.63,,,64,0.0
South Korea,KOR,2023-04-16,,44782915,44369386,,,,,86.43,85.63,,,64,0.0
South Korea,KOR,2023-04-17,,44782986,44369482,,,,,86.43,85.63,,,62,0.0
South Korea,KOR,2023-04-18,,44783061,44369650,,,,,86.43,85.63,,,62,0.0
South Korea,KOR,2023-04-19,,44783159,44369850,,,,,86.43,85.63,,,66,0.0
South Korea,KOR,2023-04-20,,44783243,44370016,,,,,86.43,85.63,,,68,0.0
South Korea,KOR,2023-04-21,,44783347,44370232,,,,,86.43,85.63,,,71,0.0
South Korea,KOR,2023-04-22,,44783378,44370329,,,,,86.43,85.63,,,66,0.0
South Korea,KOR,2023-04-23,,44783382,44370333,,,,,86.43,85.63,,,67,0.0
South Korea,KOR,2023-04-24,,44783444,44370429,,,,,86.43,85.63,,,65,0.0
South Korea,KOR,2023-04-25,,44783499,44370558,,,,,86.43,85.63,,,63,0.0
South Korea,KOR,2023-04-26,,44783566,44370660,,,,,86.43,85.63,,,58,0.0
South Korea,KOR,2023-04-27,,44783639,44370795,,,,,86.43,85.63,,,57,0.0
South Korea,KOR,2023-04-28,,44783755,44371004,,,,,86.43,85.63,,,58,0.0
South Korea,KOR,2023-04-29,,44783806,44371071,,,,,86.43,85.63,,,61,0.0
South Korea,KOR,2023-04-30,,44783808,44371073,,,,,86.43,85.63,,,61,0.0
South Korea,KOR,2023-05-01,,44783850,44371158,,,,,86.43,85.63,,,58,0.0
South Korea,KOR,2023-05-02,,44783907,44371274,,,,,86.43,85.63,,,58,0.0
South Korea,KOR,2023-05-03,,44783944,44371408,,,,,86.43,85.63,,,54,0.0
South Korea,KOR,2023-05-04,,44784007,44371521,,,,,86.43,85.63,,,53,0.0
South Korea,KOR,2023-05-05,,44784011,44371530,,,,,86.43,85.63,,,37,0.0
South Korea,KOR,2023-05-06,,44784019,44371583,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-07,,44784020,44371584,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-08,,44784061,44371661,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-09,,44784099,44371755,,,,,86.43,85.63,,,27,0.0
South Korea,KOR,2023-05-10,,44784127,44371844,,,,,86.43,85.63,,,26,0.0
South Korea,KOR,2023-05-11,,44784174,44371901,,,,,86.43,85.63,,,24,0.0
South Korea,KOR,2023-05-12,,44784220,44372016,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-13,,44784231,44372073,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-14,,44784232,44372073,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-15,,44784272,44372123,,,,,86.43,85.63,,,30,0.0
South Korea,KOR,2023-05-16,,44784302,44372175,,,,,86.43,85.63,,,29,0.0
South Korea,KOR,2023-05-17,,44784328,44372247,,,,,86.43,85.63,,,29,0.0
South Korea,KOR,2023-05-18,,44784355,44372296,,,,,86.43,85.63,,,26,0.0
South Korea,KOR,2023-05-19,,44784379,44372370,,,,,86.43,85.63,,,23,0.0
South Korea,KOR,2023-05-20,,44784403,44372420,,,,,86.43,85.63,,,25,0.0
South Korea,KOR,2023-05-21,,44784404,44372420,,,,,86.43,85.63,,,25,0.0
South Korea,KOR,2023-05-22,,44784421,44372473,,,,,86.43,85.64,,,21,0.0
South Korea,KOR,2023-05-23,,44784442,44372521,,,,,86.43,85.64,,,20,0.0
South Korea,KOR,2023-05-24,,44784457,44372571,,,,,86.43,85.64,,,18,0.0
South Korea,KOR,2023-05-25,,44784477,44372624,,,,,86.43,85.64,,,17,0.0
South Korea,KOR,2023-05-26,,44784499,44372679,,,,,86.43,85.64,,,17,0.0
