population,strategy,n_seed,inf_averted_per_dose_mean,inf_averted_per_dose_ci_lo,inf_averted_per_dose_ci_hi,inf_averted_per_dose_sd,deaths_averted_per_dose_mean,deaths_averted_per_dose_ci_lo,deaths_averted_per_dose_ci_hi
heterogeneous,uniform,20,1.28896875,1.236521059586362,1.341416440413638,0.11206426489055521,0.0005625000000000001,0.000235120925113694,0.0008898790748863061
heterogeneous,target_elderly,20,1.0290312499999998,0.9633319143654135,1.0947305856345861,0.14037887452472664,0.00034375,-6.416498527187534e-05,0.0007516649852718753
heterogeneous,target_high_contact,20,1.578125,1.5267836502265943,1.6294663497734057,0.1097003619314665,0.0004999999999999999,9.070738505416318e-05,0.0009092926149458366
